product_name,hts_code,tariff_rate,origin_country,import_dependency,usitc_general,usitc_special,usitc_rate_type,usitc_parse_status,usitc_updated_at
Ice Cream,2105.00.40,17.00,United States,Low,50.2¢/kg + 17%,"Free (BH,CL,JO,KR,MA,OM,P,PA,PE,SG) See 9822.04.25 (AU) See 9823.08.01-9823.08.38 (S+) See 9918.04.60-9918.04.80 (CO)",mixed,ok_mixed,2026-04-15T19:26:39.078676+00:00
Lamb Chops,0204.22.20,0.70,Australia,High,0.7¢/kg,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",specific,non_ad_valorem,2026-04-15T19:26:39.078676+00:00
Lettuce,0705.19.20,0.00,United States,Low,0.4¢/kg,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",specific,non_ad_valorem,2026-04-15T19:26:39.078676+00:00
Mozzarella Cheese,0406.10.48,0.00,United States,Low,$1.803/kg,"Free (BH,CL,JO,KR,MA,OM,P,PE,SG) See 9822.04.40 (AU) See 9823.04.01-9823.04.54 (S+) See 9908.04.05 (IL) See 9918.04.50, 9918.04.55 (CO) See 9919.04.50, 9919.04.54, 9919.04.64 (PA)",specific,non_ad_valorem,2026-04-15T19:26:39.078676+00:00
Olive Oil,1509.30.20,3.40,Spain,High,5¢/kg on contents and container,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",specific,non_ad_valorem,2026-04-15T19:26:39.078676+00:00
Onions,0703.10.40,0.00,United States,Low,3.1¢/kg,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",specific,non_ad_valorem,2026-04-15T19:26:39.078676+00:00
Oranges,0805.10.00,0.00,United States,Low,1.9¢/kg,"Free (AU,BH, CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)",specific,non_ad_valorem,2026-04-15T19:26:39.078676+00:00
Parmesan Cheese,0406.90.97,15.00,Italy,High,$1.509/kg,"Free (BH,CL,JO,KR,MA,OM,P,PE,SG) See 9822.04.35 (AU) See 9823.04.01-9823.04.54 (S+) See 9908.04.05 (IL) See 9918.04.50, 9918.04.51 (CO) See 9919.04.40, 9919.04.41-9919.04.42 (PA)",specific,non_ad_valorem,2026-04-15T19:26:39.078676+00:00
Pasta,1902.19.20,0.00,United States,Low,Free,,duty_free,ok_free,2026-04-15T19:26:39.078676+00:00
Peanut Butter,2008.11.02,0.00,United States,Low,Free,,duty_free,ok_free,2026-04-15T19:26:39.078676+00:00
Pork Chops,0203.19.40,0.00,United States,Low,Free,,duty_free,ok_free,2026-04-15T19:26:39.078676+00:00
Potatoes,0701.90.10,0.00,United States,Low,0.5¢/kg,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",specific,non_ad_valorem,2026-04-15T19:26:39.078676+00:00
Salmon Fillet,0304.41.00,0.00,Chile,High,Free,,duty_free,ok_free,2026-04-15T19:26:39.078676+00:00
Shrimp,0306.17.00,0.00,India,High,Free,,duty_free,ok_free,2026-04-15T19:26:39.078676+00:00
Sour Cream,0403.90.72,0.00,United States,Low,12.3¢/kg,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",specific,non_ad_valorem,2026-04-15T19:26:39.078676+00:00
Spinach,0709.70.00,20.00,United States,Low,20%,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",ad_valorem,ok_ad_valorem,2026-04-15T19:26:39.078676+00:00
Strawberries,0810.10.20,0.00,Mexico,Medium,0.2¢/kg,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",specific,non_ad_valorem,2026-04-15T19:26:39.078676+00:00
Sugar,1701.99.50,0.00,Mexico,Medium,35.74¢/kg,"Free (BH,CL,JO,KR,OM,SG) See 9822.05.20 (P+) See 9822.06.10 (PE) See 9822.08.01 (CO) See 9822.09.17 (PA) See 9823.09.01-9823.09.09 (S+) See 9822.03.01(MA)",specific,non_ad_valorem,2026-04-15T19:26:39.078676+00:00
Tilapia,0304.61.00,0.00,China,High,Free,,duty_free,ok_free,2026-04-15T19:26:39.078676+00:00
Tomatoes,0702.00.20,0.00,Mexico,High,3.9¢/kg,"Free (AU,BH, CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)",specific,non_ad_valorem,2026-04-15T19:26:39.078676+00:00
Vegetable Oil,1507.90.40,19.10,Canada,Medium,19.1%,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",ad_valorem,ok_ad_valorem,2026-04-15T19:26:39.078676+00:00
White Rice,1006.30.90,1.40,India,Medium,1.4¢/kg,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA, PE,S,SG)",specific,non_ad_valorem,2026-04-15T19:26:39.078676+00:00
Whole Milk,0401.20.40,0.00,United States,Low,1.5¢/liter,"Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",specific,non_ad_valorem,2026-04-15T19:26:39.078676+00:00
